#type,time,ch,ticks,l,fL,v,fV,f,fF,o,scale,en,fEn,vDiff,vCnt,oDiff,envlp,envlpIndex,nE,nF,offset,data,wtblIndex,f1Ctrl,f2Ctrl,vCtrl,enCtrl
vCtrl,2.416099773242646,0,145,,,,,,,,,1,,,,,,,,,31,64,1,80,3,12,31
vCtrl,2.432766439909313,0,146,,,,,,,,,1,,,,,,,,,31,64,1,80,3,11,31
vCtrl,2.4494557823129415,0,147,,,,,,,,,1,,,,,,,,,31,64,1,80,3,10,31
f1Ctrl,2.466825396825414,0,149,,,,,,,,,1,,,,,,,,,31,64,1,160,3,10,31
f2Ctrl,2.4668934240362983,0,149,,,,,,,,,1,,,,,,,,,31,64,1,160,6,10,31
vCtrl,2.467278911564643,0,149,,,,,,,,,1,,,,,,,,,31,64,1,160,6,15,31
vCtrl,2.482834467120199,0,149,,,,,,,,,1,,,,,,,,,31,64,1,160,6,14,31
vCtrl,2.4994331065759816,0,150,,,,,,,,,1,,,,,,,,,31,64,1,160,6,13,31
vCtrl,2.51612244897961,0,151,,,,,,,,,1,,,,,,,,,31,64,1,160,6,12,31
vCtrl,2.532789115646277,0,152,,,,,,,,,1,,,,,,,,,31,64,1,160,6,11,31
vCtrl,2.5494784580499057,0,153,,,,,,,,,1,,,,,,,,,31,64,1,160,6,10,31
f1Ctrl,2.566394557823149,0,154,,,,,,,,,1,,,,,,,,,31,64,1,80,6,10,31
f2Ctrl,2.5664625850340332,0,154,,,,,,,,,1,,,,,,,,,31,64,1,80,3,10,31
vCtrl,2.566802721088455,0,155,,,,,,,,,1,,,,,,,,,31,64,1,80,3,15,31
vCtrl,2.5828798185941246,0,155,,,,,,,,,1,,,,,,,,,31,64,1,80,3,14,31
vCtrl,2.599569160997753,0,156,,,,,,,,,1,,,,,,,,,31,64,1,80,3,13,31
vCtrl,2.616281179138343,0,157,,,,,,,,,1,,,,,,,,,31,64,1,80,3,12,31
vCtrl,2.6329705215419716,0,158,,,,,,,,,1,,,,,,,,,31,64,1,80,3,11,31
vCtrl,2.6496598639456,0,159,,,,,,,,,1,,,,,,,,,31,64,1,80,3,10,31
f1Ctrl,2.6666893424036506,0,161,,,,,,,,,1,,,,,,,,,31,64,1,160,3,10,31
f2Ctrl,2.6667346938775736,0,161,,,,,,,,,1,,,,,,,,,31,64,1,160,6,10,31
vCtrl,2.6670748299319955,0,161,,,,,,,,,1,,,,,,,,,31,64,1,160,6,15,31
vCtrl,2.6829478458050118,0,161,,,,,,,,,1,,,,,,,,,31,64,1,160,6,14,31
vCtrl,2.6996598639456018,0,162,,,,,,,,,1,,,,,,,,,31,64,1,160,6,13,31
vCtrl,2.7163492063492303,0,163,,,,,,,,,1,,,,,,,,,31,64,1,160,6,12,31
vCtrl,2.732993197278936,0,164,,,,,,,,,1,,,,,,,,,31,64,1,160,6,11,31
vCtrl,2.7496825396825644,0,165,,,,,,,,,1,,,,,,,,,31,64,1,160,6,10,31
f1Ctrl,2.7665986394558075,0,166,,,,,,,,,1,,,,,,,,,31,64,1,80,6,10,31
f2Ctrl,2.766666666666692,0,167,,,,,,,,,1,,,,,,,,,31,64,1,80,3,10,31
vCtrl,2.767006802721114,0,167,,,,,,,,,1,,,,,,,,,31,64,1,80,3,15,31
vCtrl,2.7830839002267833,0,167,,,,,,,,,1,,,,,,,,,31,64,1,80,3,14,31
vCtrl,2.7998639455782577,0,168,,,,,,,,,1,,,,,,,,,31,64,1,80,3,13,31
vCtrl,2.816553287981886,0,169,,,,,,,,,1,,,,,,,,,31,64,1,80,3,12,31
vCtrl,2.8331746031746303,0,170,,,,,,,,,1,,,,,,,,,31,64,1,80,3,11,31
vCtrl,2.849863945578259,0,171,,,,,,,,,1,,,,,,,,,31,64,1,80,3,10,31
f1Ctrl,2.8678684807256514,0,173,,,,,,,,,1,,,,,,,,,31,64,1,160,3,10,31
f2Ctrl,2.8679365079365358,0,173,,,,,,,,,1,,,,,,,,,31,64,1,160,6,10,31
vCtrl,2.8683673469388036,0,173,,,,,,,,,1,,,,,,,,,31,64,1,160,6,15,31
vCtrl,2.883287981859439,0,173,,,,,,,,,1,,,,,,,,,31,64,1,160,6,14,31
vCtrl,2.8999773242630673,0,174,,,,,,,,,1,,,,,,,,,31,64,1,160,6,13,31
vCtrl,2.91673469387758,0,176,,,,,,,,,1,,,,,,,,,31,64,1,160,6,12,31
vCtrl,2.933378684807286,0,177,,,,,,,,,1,,,,,,,,,31,64,1,160,6,11,31
vCtrl,2.950090702947876,0,178,,,,,,,,,1,,,,,,,,,31,64,1,160,6,10,31
f1Ctrl,2.967097505668965,0,179,,,,,,,,,1,,,,,,,,,31,64,1,80,6,10,31
f2Ctrl,2.967165532879849,0,179,,,,,,,,,1,,,,,,,,,31,64,1,80,3,10,31
vCtrl,2.967505668934271,0,179,,,,,,,,,1,,,,,,,,,31,64,1,80,3,15,31
vCtrl,2.9835827664399406,0,180,,,,,,,,,1,,,,,,,,,31,64,1,80,3,14,31
vCtrl,3.0001814058957232,0,181,,,,,,,,,1,,,,,,,,,31,64,1,80,3,13,31
vCtrl,3.0168707482993518,0,182,,,,,,,,,1,,,,,,,,,31,64,1,80,3,12,31
vCtrl,3.033537414966019,0,183,,,,,,,,,1,,,,,,,,,31,64,1,80,3,11,31
vCtrl,3.050249433106609,0,184,,,,,,,,,1,,,,,,,,,31,64,1,80,3,10,31
f1Ctrl,3.067505668934274,0,185,,,,,,,,,1,,,,,,,,,31,64,1,160,3,10,31
f2Ctrl,3.0675736961451583,0,185,,,,,,,,,1,,,,,,,,,31,64,1,160,6,10,31
vCtrl,3.067959183673503,0,185,,,,,,,,,1,,,,,,,,,31,64,1,160,6,15,31
