#type,time,ch,ticks,l,fL,v,fV,f,fF,o,scale,en,fEn,vDiff,vCnt,oDiff,envlp,envlpIndex,nE,nF,offset,data,wtbIndex,fCtrlA,fCtrlB,wNCtrl,vVCtrl,aVCtrl,envPCtrlL,envPCtrlM,envShape,ioParallel1,ioParallel2
fCA,3.796825396825448,1,228,,,,,,,,,1,,,,,,,,,,,,0,4,4,177,12,11,0,0,0,0
fCB,3.796870748299371,1,228,,,,,,,,,1,,,,,,,,,,,,0,5,4,177,12,11,0,0,0,0
fCB,3.813628117913884,1,229,,,,,,,,,1,,,,,,,,,,,,0,6,4,177,12,11,0,0,0,0
fCB,3.8301587301587823,1,230,,,,,,,,,1,,,,,,,,,,,,0,8,4,177,12,11,0,0,0,0
fCB,3.846666666666719,1,231,,,,,,,,,1,,,,,,,,,,,,0,9,4,177,12,11,0,0,0,0
fCB,3.8641269841270365,1,232,,,,,,,,,1,,,,,,,,,,,,0,3,4,177,12,11,0,0,0,0
fCA,3.8798639455782844,1,233,,,,,,,,,1,,,,,,,,,,,,80,3,4,177,12,11,0,0,0,0
fCA,3.896916099773296,1,234,,,,,,,,,1,,,,,,,,,,,,0,3,4,177,12,11,0,0,0,0
fCB,3.896961451247219,1,234,,,,,,,,,1,,,,,,,,,,,,0,4,4,177,12,11,0,0,0,0
wNC,3.8971882086168335,1,234,,,,,,,,,1,,,,,,,,,,,,0,4,7,177,12,11,0,0,0,0
fCA,3.913242630385541,1,235,,,,,,,,,1,,,,,,,,,,,,128,4,7,177,12,11,0,0,0,0
fCA,3.929909297052208,1,236,,,,,,,,,1,,,,,,,,,,,,0,4,7,177,12,11,0,0,0,0
fCB,3.9299319727891695,1,236,,,,,,,,,1,,,,,,,,,,,,0,5,7,177,12,11,0,0,0,0
