#type,time,ch,ticks,l,fL,v,fV,f,fF,o,scale,en,fEn,vDiff,vCnt,oDiff,envlp,envlpIndex,nE,nF,offset,data,wtbIndex,fCtrlA,fCtrlB,wNCtrl,vVCtrl,aVCtrl,envPCtrlL,envPCtrlM,envShape,ioParallel1,ioParallel2
evM,1.063514739229026,0,64,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,0,3,10,0,0
evM,1.063514739229026,1,64,,,,,,,,,0,,,,,,,,,,,,208,3,0,187,18,0,3,10,0,0
evM,1.063514739229026,2,64,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,10,0,3,10,0,0
evS,1.063560090702949,0,64,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,0,3,9,0,0
evS,1.063560090702949,1,64,,,,,,,,,0,,,,,,,,,,,,208,3,0,187,18,0,3,9,0,0
evS,1.063560090702949,2,64,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,10,0,3,9,0,0
mode,1.0636734693877563,1,64,,,,,,,,,1,,,,,,,,,,,,208,3,0,185,18,0,3,9,0,0
fCA,1.0788435374149674,1,65,,,,,,,,,1,,,,,,,,,,,,0,3,0,185,18,0,3,9,0,0
fCB,1.0788888888888903,1,65,,,,,,,,,1,,,,,,,,,,,,0,6,0,185,18,0,3,9,0,0
fCB,1.0955782312925186,1,66,,,,,,,,,1,,,,,,,,,,,,0,7,0,185,18,0,3,9,0,0
fCB,1.112267573696147,1,67,,,,,,,,,1,,,,,,,,,,,,0,8,0,185,18,0,3,9,0,0
mode,1.1290022675736981,1,68,,,,,,,,,0,,,,,,,,,,,,0,8,0,187,18,0,3,9,0,0
aVC,1.145464852607712,2,69,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,9,0,3,9,0,0
aVC,1.16215419501134,2,70,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,8,0,3,9,0,0
aVC,1.1788435374149682,2,71,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,7,0,3,9,0,0
aVC,1.1972108843537437,1,72,,,,,,,,,0,,,,,,,,,,,,0,8,0,187,9,0,3,9,0,0
aVC,1.1973469387755125,2,72,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,13,0,3,9,0,0
mode,1.1975736961451269,1,72,,,,,,,,,2,,,,,,,,,,,,0,8,0,171,9,0,3,9,0,0
aVC,1.2123129251700704,2,73,,,,,,,,,1,,,,,,,,,,,,64,5,0,171,12,0,3,9,0,0
mode,1.2123129251700704,1,73,,,,,,,,,0,,,,,,,,,,,,0,8,0,187,9,0,3,9,0,0
aVC,1.228775510204084,2,74,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,11,0,3,9,0,0
aVC,1.2454875283446736,2,75,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,10,0,3,9,0,0
aVC,1.278820861678007,2,77,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,9,0,3,9,0,0
aVC,1.295510204081635,2,78,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,8,0,3,9,0,0
aVC,1.3121995464852632,2,79,,,,,,,,,1,,,,,,,,,,,,64,5,0,187,7,0,3,9,0,0
fCA,1.3305895691610001,1,80,,,,,,,,,0,,,,,,,,,,,,176,8,0,187,9,0,3,9,0,0
fCB,1.3306122448979616,1,80,,,,,,,,,0,,,,,,,,,,,,176,1,0,187,9,0,3,9,0,0
aVC,1.3306575963718845,1,80,,,,,,,,,0,,,,,,,,,,,,176,1,0,187,18,0,3,9,0,0
fCA,1.330725623582769,2,80,,,,,,,,,1,,,,,,,,,,,,160,5,0,187,7,0,3,9,0,0
fCB,1.3307482993197304,2,80,,,,,,,,,1,,,,,,,,,,,,160,2,0,187,7,0,3,9,0,0
aVC,1.3307936507936533,2,80,,,,,,,,,1,,,,,,,,,,,,160,2,0,187,13,0,3,9,0,0
ePL,1.3308843537414992,0,80,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,66,3,9,0,0
ePL,1.3308843537414992,1,80,,,,,,,,,0,,,,,,,,,,,,176,1,0,187,18,66,3,9,0,0
ePL,1.3308843537414992,2,80,,,,,,,,,1,,,,,,,,,,,,160,2,0,187,13,66,3,9,0,0
evM,1.330929705215422,0,80,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,66,0,9,0,0
evM,1.330929705215422,1,80,,,,,,,,,0,,,,,,,,,,,,176,1,0,187,18,66,0,9,0,0
evM,1.330929705215422,2,80,,,,,,,,,1,,,,,,,,,,,,160,2,0,187,13,66,0,9,0,0
evS,1.330975056689345,0,80,,,,,,,,,0,,,,,,,,,,,,0,0,0,187,0,66,0,10,0,0
evS,1.330975056689345,1,80,,,,,,,,,0,,,,,,,,,,,,176,1,0,187,18,66,0,10,0,0
evS,1.330975056689345,2,80,,,,,,,,,1,,,,,,,,,,,,160,2,0,187,13,66,0,10,0,0
mode,1.3311111111111138,1,80,,,,,,,,,1,,,,,,,,,,,,176,1,0,185,18,66,0,10,0,0
aVC,1.3458276643990956,1,81,,,,,,,,,1,,,,,,,,,,,,176,1,0,185,10,66,0,10,0,0
aVC,1.3459637188208644,2,81,,,,,,,,,1,,,,,,,,,,,,160,2,0,185,12,66,0,10,0,0
wNC,1.3460544217687103,0,81,,,,,,,,,0,,,,,,,,,,,,0,0,8,185,0,66,0,10,0,0
wNC,1.3460544217687103,1,81,,,,,,,,,1,,,,,,,,,,,,176,1,8,185,10,66,0,10,0,0
wNC,1.3460544217687103,2,81,,,,,,,,,1,,,,,,,,,,,,160,2,8,185,12,66,0,10,0,0
